Detected id,Detected size,Truth id,Truth size,Precision,Detected left,intersect,Truth left
261,4,87,20,0.043478,3,1,19
262,4,63,20,0.043478,3,1,19
263,3,20,20,0.045455,2,1,19
264,3,7,20,0.045455,2,1,19
265,3,58,20,0.045455,2,1,19
266,3,7,20,0.045455,2,1,19
267,3,20,20,0.045455,2,1,19
268,3,9,20,0.045455,2,1,19
269,3,70,20,0.045455,2,1,19
270,3,52,20,0.045455,2,1,19
271,3,46,20,0.045455,2,1,19
272,3,16,20,0.045455,2,1,19
273,3,13,20,0.045455,2,1,19
274,3,66,20,0.045455,2,1,19
275,3,15,20,0.045455,2,1,19
276,3,26,20,0.045455,2,1,19
277,3,31,20,0.045455,2,1,19
278,3,5,20,0.045455,2,1,19
279,3,51,20,0.045455,2,1,19
280,3,33,20,0.045455,2,1,19
281,3,61,20,0.045455,2,1,19
282,3,3,20,0.045455,2,1,19
283,3,83,20,0.045455,2,1,19
284,3,10,20,0.045455,2,1,19
285,3,35,20,0.045455,2,1,19
286,3,23,20,0.045455,2,1,19
287,3,39,20,0.045455,2,1,19
288,3,89,20,0.045455,2,1,19
289,3,1,20,0.045455,2,1,19
290,3,4,20,0.045455,2,1,19
291,3,49,20,0.045455,2,1,19
292,3,27,20,0.045455,2,1,19
293,3,57,20,0.045455,2,1,19
294,3,43,20,0.045455,2,1,19
295,3,63,20,0.045455,2,1,19
296,3,22,20,0.045455,2,1,19
297,3,40,20,0.045455,2,1,19
298,3,16,20,0.045455,2,1,19
299,3,59,20,0.045455,2,1,19
300,3,15,20,0.045455,2,1,19
301,3,48,20,0.045455,2,1,19
302,3,6,20,0.045455,2,1,19
303,3,34,20,0.045455,2,1,19
304,3,3,20,0.045455,2,1,19
305,3,32,20,0.045455,2,1,19
306,3,32,20,0.045455,2,1,19
307,3,2,20,0.045455,2,1,19
308,3,43,20,0.045455,2,1,19
309,3,12,20,0.045455,2,1,19
310,3,37,20,0.045455,2,1,19
311,3,26,20,0.045455,2,1,19
312,3,15,20,0.045455,2,1,19
313,3,49,20,0.045455,2,1,19
314,3,55,20,0.045455,2,1,19
315,3,25,20,0.045455,2,1,19
316,3,11,20,0.045455,2,1,19
317,3,25,20,0.045455,2,1,19
318,3,100,20,0.045455,2,1,19
319,3,26,20,0.045455,2,1,19
320,3,69,20,0.045455,2,1,19
321,3,25,20,0.045455,2,1,19
322,3,7,20,0.045455,2,1,19
323,3,29,20,0.045455,2,1,19
324,3,47,20,0.045455,2,1,19
325,3,53,20,0.045455,2,1,19
326,3,20,20,0.045455,2,1,19
327,3,39,20,0.045455,2,1,19
328,3,37,20,0.045455,2,1,19
329,3,65,20,0.045455,2,1,19
330,3,21,20,0.045455,2,1,19
331,3,73,20,0.095238,1,2,18
332,3,18,20,0.045455,2,1,19
333,3,42,20,0.045455,2,1,19
334,3,8,20,0.045455,2,1,19
335,3,5,20,0.045455,2,1,19
336,3,51,20,0.045455,2,1,19
337,3,54,20,0.045455,2,1,19
338,3,60,20,0.045455,2,1,19
339,3,30,20,0.045455,2,1,19
340,3,60,20,0.045455,2,1,19
341,3,35,20,0.045455,2,1,19
342,3,67,20,0.045455,2,1,19
343,3,35,20,0.045455,2,1,19
344,3,74,20,0.045455,2,1,19
345,3,46,20,0.045455,2,1,19
346,3,20,20,0.045455,2,1,19
347,3,64,20,0.045455,2,1,19
348,3,1,20,0.000000,3,0,20
Weighted Average,0.041399
Average,0.042658
