Detected id,Detected size,Truth id,Truth size,Precision,intersect
255,4,15,20,0.250000,1
256,4,33,20,0.250000,1
257,4,6,20,0.250000,1
258,4,48,20,0.250000,1
259,4,13,20,0.250000,1
260,4,17,20,0.250000,1
261,4,52,20,0.250000,1
262,4,16,20,0.250000,1
263,3,37,20,0.333333,1
264,3,73,20,0.333333,1
265,3,58,20,0.333333,1
266,3,46,20,0.333333,1
267,3,20,20,0.333333,1
268,3,82,20,0.333333,1
269,3,91,20,0.333333,1
270,3,81,20,0.333333,1
271,3,66,20,0.333333,1
272,3,77,20,0.333333,1
273,3,28,20,0.333333,1
274,3,66,20,0.333333,1
275,3,71,20,0.333333,1
276,3,99,20,0.333333,1
277,3,95,20,0.333333,1
278,3,45,20,0.333333,1
279,3,100,20,0.333333,1
280,3,90,20,0.333333,1
281,3,92,20,0.333333,1
282,3,36,20,0.333333,1
283,3,100,20,0.333333,1
284,3,90,20,0.333333,1
285,3,64,20,0.333333,1
286,3,71,20,0.333333,1
287,3,57,20,0.333333,1
288,3,100,20,0.333333,1
289,3,46,20,0.333333,1
290,3,53,20,0.333333,1
291,3,49,20,0.333333,1
292,3,34,20,0.333333,1
293,3,76,20,0.333333,1
294,3,95,20,0.333333,1
295,3,75,20,0.333333,1
296,3,88,20,0.333333,1
297,3,95,20,0.333333,1
298,3,86,20,0.333333,1
299,3,96,20,0.333333,1
300,3,15,20,0.333333,1
301,3,65,20,0.333333,1
302,3,90,20,0.333333,1
303,3,95,20,0.333333,1
304,3,66,20,0.333333,1
305,3,96,20,0.333333,1
306,3,95,20,0.333333,1
307,3,78,20,0.333333,1
308,3,67,20,0.333333,1
309,3,38,20,0.333333,1
310,3,88,20,0.333333,1
311,3,38,20,0.333333,1
312,3,81,20,0.333333,1
313,3,81,20,0.333333,1
314,3,66,20,0.333333,1
315,3,31,20,0.333333,1
316,3,71,20,0.333333,1
317,3,89,20,0.333333,1
318,3,100,20,0.333333,1
319,3,44,20,0.333333,1
320,3,69,20,0.333333,1
321,3,70,20,0.333333,1
322,3,61,20,0.333333,1
323,3,47,20,0.333333,1
324,3,58,20,0.333333,1
325,3,85,20,0.333333,1
326,3,20,20,0.333333,1
327,3,92,20,0.333333,1
328,3,50,20,0.333333,1
329,3,65,20,0.333333,1
330,3,21,20,0.333333,1
331,3,73,20,0.666667,2
332,3,99,20,0.333333,1
333,3,42,20,0.333333,1
334,3,8,20,0.333333,1
335,3,40,20,0.333333,1
336,3,62,20,0.333333,1
337,3,54,20,0.333333,1
338,3,69,20,0.333333,1
339,3,30,20,0.333333,1
340,3,60,20,0.333333,1
341,3,35,20,0.333333,1
342,3,67,20,0.333333,1
343,3,35,20,0.333333,1
344,3,74,20,0.333333,1
345,3,46,20,0.333333,1
346,3,49,20,0.333333,1
347,3,64,20,0.333333,1
348,3,1,20,0.000000,0
Weighted Average,0.137967
Average,0.209044
